solution_class,metric,quantile,value
dominated,sum_cap_ac_new_kw,0.05,12995.621064668729
dominated,sum_cap_ac_new_kw,0.25,19138.919190066394
dominated,sum_cap_ac_new_kw,0.5,24735.591537862616
dominated,sum_cap_ac_new_kw,0.75,31358.137951006916
dominated,sum_cap_ac_new_kw,0.95,42316.90225570829
dominated,sum_cap_rdhx_kw,0.05,3875.056137327253
dominated,sum_cap_rdhx_kw,0.25,7963.923614009258
dominated,sum_cap_rdhx_kw,0.5,11655.287011462824
dominated,sum_cap_rdhx_kw,0.75,15756.877617936801
dominated,sum_cap_rdhx_kw,0.95,22154.864189469576
dominated,sum_cap_cdu_kw,0.05,8160.703625660669
dominated,sum_cap_cdu_kw,0.25,14035.704205265396
dominated,sum_cap_cdu_kw,0.5,18249.268290444743
dominated,sum_cap_cdu_kw,0.75,23160.47691814563
dominated,sum_cap_cdu_kw,0.95,30457.768513090017
dominated,cap_ashp_kw,0.05,1441.2790136468568
dominated,cap_ashp_kw,0.25,5926.484682923674
dominated,cap_ashp_kw,0.5,13690.298892800214
dominated,cap_ashp_kw,0.75,18001.82556287365
dominated,cap_ashp_kw,0.95,18593.532906911027
dominated,cap_wshp_kw,0.05,2195.7269278373783
dominated,cap_wshp_kw,0.25,4508.319424762383
dominated,cap_wshp_kw,0.5,11454.43537268025
dominated,cap_wshp_kw,0.75,16362.386090746575
dominated,cap_wshp_kw,0.95,19972.19030023832
dominated,cap_bess,0.05,83.5849274156697
dominated,cap_bess,0.25,83.5849274156697
dominated,cap_bess,0.5,1559.1751014928157
dominated,cap_bess,0.75,13581.920972279202
dominated,cap_bess,0.95,33142.448790234586
dominated,cap_tes,0.05,3141.7796815943334
dominated,cap_tes,0.25,10030.527513910576
dominated,cap_tes,0.5,16707.24152262644
dominated,cap_tes,0.75,24313.67119486093
dominated,cap_tes,0.95,36389.490018860175
dominated,delta_cap_chiller_kw,0.05,1156.3220812949448
dominated,delta_cap_chiller_kw,0.25,2380.7661099341626
dominated,delta_cap_chiller_kw,0.5,5736.790434728636
dominated,delta_cap_chiller_kw,0.75,11481.885478069275
dominated,delta_cap_chiller_kw,0.95,17772.243982607095
dominated,delta_cap_tower_kw,0.05,1771.8007114719214
dominated,delta_cap_tower_kw,0.25,5879.150714757392
dominated,delta_cap_tower_kw,0.5,7421.839186652487
dominated,delta_cap_tower_kw,0.75,13192.224199045851
dominated,delta_cap_tower_kw,0.95,21104.91309019105
pareto,sum_cap_ac_new_kw,0.05,5889.533945388677
pareto,sum_cap_ac_new_kw,0.25,8689.34335902909
pareto,sum_cap_ac_new_kw,0.5,11341.783266588322
pareto,sum_cap_ac_new_kw,0.75,13889.725269642175
pareto,sum_cap_ac_new_kw,0.95,15215.512447671592
pareto,sum_cap_rdhx_kw,0.05,6710.386684076433
pareto,sum_cap_rdhx_kw,0.25,7779.469437745322
pareto,sum_cap_rdhx_kw,0.5,9715.177907657215
pareto,sum_cap_rdhx_kw,0.75,13673.704112276097
pareto,sum_cap_rdhx_kw,0.95,18346.665968699137
pareto,sum_cap_cdu_kw,0.05,6406.823356830802
pareto,sum_cap_cdu_kw,0.25,9973.513211573965
pareto,sum_cap_cdu_kw,0.5,16944.07919957302
pareto,sum_cap_cdu_kw,0.75,22108.866917992727
pareto,sum_cap_cdu_kw,0.95,29833.769426576077
pareto,cap_ashp_kw,0.05,4802.246893824294
pareto,cap_ashp_kw,0.25,12028.453832848087
pareto,cap_ashp_kw,0.5,17008.623689727323
pareto,cap_ashp_kw,0.75,17008.623689727323
pareto,cap_ashp_kw,0.95,17654.204907272437
pareto,cap_wshp_kw,0.05,3730.0758153716492
pareto,cap_wshp_kw,0.25,4508.319424762383
pareto,cap_wshp_kw,0.5,10705.270536239239
pareto,cap_wshp_kw,0.75,11302.236700993997
pareto,cap_wshp_kw,0.95,16387.71216878954
pareto,cap_bess,0.05,83.5849274156697
pareto,cap_bess,0.25,83.5849274156697
pareto,cap_bess,0.5,83.5849274156697
pareto,cap_bess,0.75,1424.1512535108836
pareto,cap_bess,0.95,6697.819795567624
pareto,cap_tes,0.05,10030.527513910576
pareto,cap_tes,0.25,12160.99029004408
pareto,cap_tes,0.5,24244.489138914207
pareto,cap_tes,0.75,32327.012194534054
pareto,cap_tes,0.95,35471.531024309974
pareto,delta_cap_chiller_kw,0.05,1156.3220812949448
pareto,delta_cap_chiller_kw,0.25,1156.3220812949448
pareto,delta_cap_chiller_kw,0.5,2380.7661099341626
pareto,delta_cap_chiller_kw,0.75,2895.69789295265
pareto,delta_cap_chiller_kw,0.95,9744.658732741449
pareto,delta_cap_tower_kw,0.05,5470.28138108107
pareto,delta_cap_tower_kw,0.25,7036.167068678713
pareto,delta_cap_tower_kw,0.5,9686.461087069802
pareto,delta_cap_tower_kw,0.75,14919.524424765856
pareto,delta_cap_tower_kw,0.95,19843.51239229775
