metric,objective,pearson_corr
sum_cap_ac_new_kw,tlcc,0.6614109870287466
sum_cap_ac_new_kw,tce,0.32345168267411395
sum_cap_rdhx_kw,tlcc,0.3369854539573138
sum_cap_rdhx_kw,tce,-0.29059349782544164
sum_cap_cdu_kw,tlcc,0.510456665219422
sum_cap_cdu_kw,tce,-0.22984847452277735
cap_ashp_kw,tlcc,0.05868767062852417
cap_ashp_kw,tce,0.05606462853026379
cap_wshp_kw,tlcc,0.1732583433086458
cap_wshp_kw,tce,0.10641936981718832
cap_bess,tlcc,-0.025604433383722973
cap_bess,tce,0.8326105636113137
cap_tes,tlcc,0.046262085659675115
cap_tes,tce,0.045550097501084
delta_cap_chiller_kw,tlcc,0.07980519262228342
delta_cap_chiller_kw,tce,0.18106864249896432
delta_cap_tower_kw,tlcc,-0.016248883612029655
delta_cap_tower_kw,tce,-0.035410512277348344
soft_violation_kg,tlcc,0.9966300882958864
soft_violation_kg,tce,0.004662178136438676
operating_cost_yuan_per_year,tlcc,-0.001925248537338618
operating_cost_yuan_per_year,tce,-0.4104225767390944
operating_carbon_kg_per_year,tlcc,-0.06671133300949944
operating_carbon_kg_per_year,tce,0.9956990376735436
