scenario,year,hour_of_year,Mainland_China_kgCO2_per_kWh,Beijing_kgCO2_per_kWh,Tianjin_kgCO2_per_kWh,Hebei_kgCO2_per_kWh,Shanxi_kgCO2_per_kWh,Inner_Mongolia_kgCO2_per_kWh,Liaoning_kgCO2_per_kWh,Jilin_kgCO2_per_kWh,Heilongjiang_kgCO2_per_kWh,Shanghai_kgCO2_per_kWh,Jiangsu_kgCO2_per_kWh,Zhejiang_kgCO2_per_kWh,Anhui_kgCO2_per_kWh,Fujian_kgCO2_per_kWh,Jiangxi_kgCO2_per_kWh,Shandong_kgCO2_per_kWh,Henan_kgCO2_per_kWh,Hubei_kgCO2_per_kWh,Hunan_kgCO2_per_kWh,Guangdong_kgCO2_per_kWh,Guangxi_kgCO2_per_kWh,Hainan_kgCO2_per_kWh,Chongqing_kgCO2_per_kWh,Sichuan_kgCO2_per_kWh,Guizhou_kgCO2_per_kWh,Yunnan_kgCO2_per_kWh,Tibet_kgCO2_per_kWh,Shaanxi_kgCO2_per_kWh,Gansu_kgCO2_per_kWh,Qinghai_kgCO2_per_kWh,Ningxia_kgCO2_per_kWh,Xinjiang_kgCO2_per_kWh
S1,2025,1,0.4731,0.4907,0.7331,0.523,0.6786,0.3901,0.3869,0.2044,0.4849,0.4297,0.5132,0.4329,0.7448,0.1504,0.7127,0.5997,0.6486,0.447,0.3665,0.4361,0.369,0.2464,0.2973,0.0327,0.7295,0.0461,0.0,0.6976,0.0759,0.3189,0.591,0.7252
S1,2025,2,0.4793,0.4838,0.7407,0.5163,0.6785,0.4025,0.389,0.2107,0.4833,0.4276,0.5146,0.4349,0.7436,0.1333,0.7076,0.5973,0.6442,0.4892,0.4258,0.4477,0.3789,0.2049,0.3049,0.0299,0.7542,0.0472,0.0,0.6905,0.0726,0.3212,0.5919,0.7309
S1,2025,3,0.481,0.4781,0.7403,0.5098,0.6707,0.4106,0.4031,0.213,0.455,0.4265,0.5036,0.4321,0.7468,0.1303,0.7087,0.5987,0.6428,0.5154,0.4345,0.4512,0.4003,0.1522,0.3112,0.029,0.7576,0.0486,0.0,0.6878,0.0676,0.3244,0.5952,0.739
S1,2025,4,0.4793,0.4747,0.7394,0.5004,0.663,0.4098,0.4099,0.2057,0.4213,0.4477,0.4972,0.3946,0.7478,0.1277,0.7111,0.5917,0.6411,0.5494,0.4417,0.4492,0.4153,0.1038,0.3319,0.0285,0.7719,0.052,0.0,0.692,0.0621,0.3209,0.5962,0.7414
S1,2025,5,0.4812,0.4698,0.7383,0.4898,0.6615,0.4096,0.4016,0.2007,0.411,0.447,0.5026,0.3738,0.7504,0.1256,0.7182,0.6006,0.6535,0.5583,0.4379,0.4475,0.4183,0.0623,0.3501,0.0279,0.7714,0.0536,0.0,0.6972,0.0647,0.3231,0.5908,0.7695
S1,2025,6,0.4798,0.4518,0.7347,0.4683,0.6564,0.4009,0.3926,0.199,0.4537,0.4239,0.5019,0.3821,0.7467,0.1256,0.7267,0.5978,0.6564,0.5504,0.4287,0.4523,0.4183,0.0354,0.3575,0.027,0.7541,0.0549,0.0,0.7026,0.068,0.3163,0.5847,0.7733
S1,2025,7,0.476,0.4521,0.731,0.4762,0.6859,0.4152,0.4199,0.2018,0.4321,0.4208,0.5095,0.3702,0.7378,0.1286,0.7273,0.6015,0.6662,0.483,0.438,0.4489,0.3714,0.0418,0.3212,0.023,0.6571,0.0515,0.0,0.7138,0.1249,0.3276,0.5999,0.7215
S1,2025,8,0.4855,0.5243,0.7407,0.5638,0.7128,0.4884,0.4714,0.2806,0.4504,0.4182,0.5202,0.3953,0.7116,0.1311,0.704,0.6319,0.6825,0.4027,0.3514,0.4206,0.32,0.0352,0.3103,0.0213,0.5925,0.0454,0.0,0.7347,0.2125,0.2707,0.653,0.6805
S1,2025,9,0.4789,0.5438,0.7461,0.5882,0.743,0.5188,0.4699,0.2542,0.4274,0.4375,0.548,0.3921,0.7224,0.121,0.6579,0.6218,0.6481,0.3199,0.3561,0.3571,0.317,0.019,0.3,0.0218,0.5332,0.0405,0.0,0.7449,0.2187,0.2858,0.6787,0.6744
S1,2025,10,0.4497,0.3755,0.7215,0.4955,0.7832,0.5622,0.4184,0.307,0.2895,0.4644,0.5207,0.4029,0.6973,0.106,0.6262,0.532,0.6431,0.3092,0.3961,0.1467,0.2686,0.0103,0.2774,0.0197,0.5454,0.0373,0.0,0.7465,0.463,0.2998,0.7104,0.704
