Date/Time,热负荷/kWh,冷负荷/kWh,电负荷/kWh
Year 1 Jan 01 1:00,3607.9138595079,0,73.2926104169826
Year 1 Jan 01 2:00,3655.91252796401,0,73.2926104169826
Year 1 Jan 01 3:00,3755.74723063892,0,73.2926104169826
Year 1 Jan 01 4:00,3832.75589647419,0,73.2926104169826
Year 1 Jan 01 5:00,5453.10086155593,0,73.2926104169826
Year 1 Jan 01 6:00,7591.29214730746,0,73.2926104169826
Year 1 Jan 01 7:00,7369.24645505686,0,429.874775032858
Year 1 Jan 01 8:00,6147.34873172249,0,1988.34660328931
Year 1 Jan 01 9:00,5501.19899422621,0,2335.23203585185
Year 1 Jan 01 10:00,2387.63686104251,0,2063.72717938151
Year 1 Jan 01 11:00,0,0,268.282881917347
Year 1 Jan 01 12:00,0,0,268.282881917347
Year 1 Jan 01 13:00,0,0,268.282881917347
Year 1 Jan 01 14:00,0,0,268.282881917347
Year 1 Jan 01 15:00,2641.48502983318,0,268.282881917347
Year 1 Jan 01 16:00,2432.55779970816,0,268.282881917347
Year 1 Jan 01 17:00,3911.72851191975,0,610.705825464329
Year 1 Jan 01 18:00,5957.6709288864,0,686.655011509517
Year 1 Jan 01 19:00,5683.48616606795,0,1031.08159047369
Year 1 Jan 01 20:00,5217.96965514354,0,2153.25902830749
Year 1 Jan 01 21:00,8693.01315388097,0,2229.20821435268
Year 1 Jan 01 22:00,8204.38461303414,0,2117.57226868664
Year 1 Jan 01 23:00,6767.54179493132,0,1632.39048398031
Year 1 Jan 02 0:00,3592.60392029542,0,149.24179646217
Year 1 Jan 02 1:00,3717.39870549656,0,73.2926104169826
Year 1 Jan 02 2:00,3743.76117048527,0,73.2926104169826
Year 1 Jan 02 3:00,3776.7581923387,0,73.2926104169826
Year 1 Jan 02 4:00,3813.03635962672,0,73.2926104169826
Year 1 Jan 02 5:00,5422.02404062298,0,73.2926104169826
Year 1 Jan 02 6:00,7565.87620546945,0,73.2926104169826
Year 1 Jan 02 7:00,7361.02422559343,0,429.874775032858
Year 1 Jan 02 8:00,6184.82069627268,0,1988.34660328931
Year 1 Jan 02 9:00,5514.28644764671,0,2335.23203585185
Year 1 Jan 02 10:00,2391.2898836612,0,2063.72717938151
Year 1 Jan 02 11:00,0,0,268.282881917347
Year 1 Jan 02 12:00,0,0,268.282881917347
Year 1 Jan 02 13:00,0,0,268.282881917347
Year 1 Jan 02 14:00,0,0,268.282881917347
Year 1 Jan 02 15:00,2295.26900436098,0,268.282881917347
Year 1 Jan 02 16:00,2187.32364898171,0,268.282881917347
Year 1 Jan 02 17:00,3515.39009798959,0,610.705825464329
Year 1 Jan 02 18:00,5545.30617069799,0,686.655011509517
Year 1 Jan 02 19:00,5276.54602707221,0,1031.08159047369
Year 1 Jan 02 20:00,4911.50986021238,0,2153.25902830749
Year 1 Jan 02 21:00,8283.84660153845,0,2229.20821435268
Year 1 Jan 02 22:00,7977.7765186528,0,2117.57226868664
Year 1 Jan 02 23:00,6648.96118909017,0,1632.39048398031
Year 1 Jan 03 0:00,3572.40924657071,0,149.24179646217
Year 1 Jan 03 1:00,3746.6683774874,0,73.2926104169826
Year 1 Jan 03 2:00,3800.16384983711,0,73.2926104169826
Year 1 Jan 03 3:00,3866.5210923704,0,73.2926104169826
Year 1 Jan 03 4:00,3928.05973664901,0,73.2926104169826
Year 1 Jan 03 5:00,5575.10353655349,0,73.2926104169826
Year 1 Jan 03 6:00,7760.68389882719,0,73.2926104169826
Year 1 Jan 03 7:00,7720.84690020387,0,429.874775032858
Year 1 Jan 03 8:00,6703.42433584637,0,1988.34660328931
Year 1 Jan 03 9:00,6064.30663972803,0,2335.23203585185
Year 1 Jan 03 10:00,2666.14885447444,0,2063.72717938151
Year 1 Jan 03 11:00,0,0,268.282881917347
Year 1 Jan 03 12:00,0,0,268.282881917347
Year 1 Jan 03 13:00,0,0,268.282881917347
Year 1 Jan 03 14:00,0,0,268.282881917347
Year 1 Jan 03 15:00,2186.78593890363,0,268.282881917347
Year 1 Jan 03 16:00,2090.97770510737,0,268.282881917347
Year 1 Jan 03 17:00,3436.75545061704,0,610.705825464329
Year 1 Jan 03 18:00,5435.65071115254,0,686.655011509517
Year 1 Jan 03 19:00,5177.84240851284,0,1031.08159047369
Year 1 Jan 03 20:00,4806.37698078424,0,2153.25902830749
Year 1 Jan 03 21:00,8068.67068595569,0,2229.20821435268
Year 1 Jan 03 22:00,7778.79154854517,0,2117.57226868664
Year 1 Jan 03 23:00,6477.16752291281,0,1632.39048398031
Year 1 Jan 04 0:00,3497.96115557582,0,149.24179646217
Year 1 Jan 04 1:00,3670.29942613481,0,73.2926104169826
Year 1 Jan 04 2:00,3734.23928917027,0,73.2926104169826
Year 1 Jan 04 3:00,3806.42715879231,0,73.2926104169826
Year 1 Jan 04 4:00,3874.04786418439,0,73.2926104169826
Year 1 Jan 04 5:00,5528.818494,0,73.2926104169826
Year 1 Jan 04 6:00,7728.31631450309,0,73.2926104169826
Year 1 Jan 04 7:00,7687.63162499391,0,429.874775032858
Year 1 Jan 04 8:00,6696.18532312379,0,1988.34660328931
Year 1 Jan 04 9:00,6083.09086234948,0,2335.23203585185
Year 1 Jan 04 10:00,2692.81885292652,0,2063.72717938151
Year 1 Jan 04 11:00,0,0,268.282881917347
Year 1 Jan 04 12:00,0,0,268.282881917347
Year 1 Jan 04 13:00,0,0,268.282881917347
Year 1 Jan 04 14:00,0,0,268.282881917347
Year 1 Jan 04 15:00,2051.05368157133,0,268.282881917347
Year 1 Jan 04 16:00,2140.73928022807,0,268.282881917347
Year 1 Jan 04 17:00,3473.28492353733,0,610.705825464329
Year 1 Jan 04 18:00,5280.229467,0,686.655011509517
Year 1 Jan 04 19:00,5012.73220381546,0,1031.08159047369
Year 1 Jan 04 20:00,4670.10479674278,0,2153.25902830749
Year 1 Jan 04 21:00,7935.45966771223,0,2229.20821435268
Year 1 Jan 04 22:00,7740.92195734763,0,2117.57226868664
Year 1 Jan 04 23:00,6497.88979053037,0,1632.39048398031
Year 1 Jan 05 0:00,3524.20922993002,0,149.24179646217
Year 1 Jan 05 1:00,3701.34604956507,0,73.2926104169826
Year 1 Jan 05 2:00,3756.26513032876,0,73.2926104169826
Year 1 Jan 05 3:00,3824.05981762409,0,73.2926104169826
Year 1 Jan 05 4:00,3894.90473888384,0,73.2926104169826
Year 1 Jan 05 5:00,5554.40020607256,0,73.2926104169826
Year 1 Jan 05 6:00,7755.61191386777,0,73.2926104169826
Year 1 Jan 05 7:00,7734.42778736724,0,418.078268258873
Year 1 Jan 05 8:00,6786.66969357348,0,2075.18969893181
